TYPE,Longitude,Latitude
hospital,72.6491037,23.2157197
hospital,72.6585478,23.2327889
hospital,72.4965122,23.2423264
hospital,72.4990569,23.239823
hospital,72.6429936,23.2147805
hospital,72.6500317,23.2318942
hospital,72.6539639,23.2321814
hospital,72.6536769,23.4269561
hospital,72.6500127,23.426201
hospital,72.5045098,23.2439523
hospital,72.5004651,23.2403073
hospital,72.7744809,23.2214705
hospital,72.6467058,23.2117744
hospital,72.4962124,23.2393412
hospital,72.633166,23.2045854
hospital,72.6591412,23.2329639
hospital,72.6132895,23.1924861
hospital,72.6500431,23.4262516
hospital,72.7299522,23.2241535
hospital,72.6299769,23.2127432
hospital,72.5857745,23.167703
hospital,72.6535855,23.4263564
hospital,72.635417,23.2905947
hospital,72.6517484,23.4276809
hospital,72.4941049,23.2404989
hospital,72.4987971,23.2423011
hospital,72.6541825,23.2363356
hospital,72.6406256,23.2149386
hospital,72.6585925,23.2344371
hospital,72.627894,23.201649
hospital,72.6641113,23.4241717
hospital,72.7353243,23.3476909
hospital,72.4975721,23.2428353
hospital,72.648888,23.406702
hospital,72.494818,23.239235
hospital,72.4994876,23.2408269
hospital,72.4969658,23.2410842
hospital,72.49332,23.240666
hospital,72.6533408,23.4260553
hospital,72.6531954,23.4264592
hospital,72.4952308,23.2405112
hospital,72.6537046,23.4254866
hospital,72.493656,23.2369014
hospital,72.4942831,23.2401344
hospital,72.4958918,23.2406493
hospital,72.494934,23.242125
hospital,72.5011793,23.2400076
hospital,72.6500591,23.419619
hospital,72.494341,23.240822
hospital,72.494113,23.239836
hospital,72.653328,23.426028
hospital,72.497042,23.239734
hospital,72.5071455,23.2223753
hospital,72.5676192,23.3007032
hospital,72.6536182,23.4259108
hospital,72.494048,23.2404454
hospital,72.5003125,23.2328095
hospital,72.651513,23.427457
hospital,72.65368,23.42272
hospital,72.503137,23.240989
hospital,72.4942212,23.2404099
hospital,72.494609,23.242093
hospital,72.5027125,23.2426265
hospital,72.4969554,23.2411182
hospital,72.554261,23.383901
hospital,72.497147,23.246432
hospital,72.4943458,23.2397946
hospital,72.642215,23.215334
hospital,72.6517603,23.2435941
hospital,72.636785,23.208854
hospital,72.6955764,23.2423717
hospital,72.633425,23.179368
hospital,72.6538077,23.2303964
hospital,72.633633,23.256938
hospital,72.6341167,23.206201
hospital,72.6423782,23.2152171
hospital,72.6512288,23.2439097
hospital,72.6365927,23.2112394
hospital,72.652228,23.230505
hospital,72.6217901,23.1857862
hospital,72.6385544,23.1926044
hospital,72.6366046,23.2085838
hospital,72.6412383,23.2048436
hospital,72.647255,23.2453065
hospital,72.6129583,23.1691147
hospital,72.646697,23.20793
hospital,72.634087,23.179407
hospital,72.635791,23.207234
hospital,72.6668603,23.2297988
hospital,72.670634,23.25575
hospital,72.636715,23.208897
hospital,72.641134,23.2151883
hospital,72.636462,23.2107329
hospital,72.6436861,23.2088303
